Year,Cluster,Agency,Budget
2024,Food Assistance,WFP,2000000.0
2024,Agriculture,FAO,2000000.0
2024,Food Aid,WFP,4000001.12
2024,ALL,ALL,203852870.88
2025,Agriculture,FAO,1700000.1
2025,Food Aid,WFP,3737497.73
2025,Common Services,WFP,1012498.14
2025,Multi-purpose CASH,WFP,1738000.22
2025,Agriculture,FAO,150000.0
2025,Food Aid,WFP,450000.09
2025,Food Aid,WFP,1599998.06
2025,Food Aid,WFP,850075.62
2025,Food Aid,WFP,1500000.0
2025,Agriculture,FAO,710015.61
2025,Food Aid,WFP,1340000.0
2025,Common Services,WFP,660000.0
2025,Food Aid,WFP,4399915.5
2025,Common Services,WFP,1499888.3199999998
2025,Multi-purpose CASH,WFP,2849999.64
2025,Food Aid,WFP,1000000.47
2025,Agriculture,FAO,1200000.0
2025,Food Aid,WFP,320000.0
2025,Multi-purpose CASH,WFP,1280000.0
2025,Agriculture,FAO,700000.0
2025,Food Aid,WFP,1299999.99
2025,Multi-purpose CASH,WFP,2000000.0
2025,Agriculture,FAO,300000.66
2025,Food Aid,WFP,599998.21
2025,Common Services,WFP,149999.55
2025,Food Aid,WFP,4132481.1
2025,Common Services,WFP,20665.62
2025,Multi-purpose CASH,WFP,1500000.0
2025,Agriculture,FAO,400129.18
2025,Nutrition,WFP,1499999.95
2025,Multi-purpose CASH,WFP,1750000.49
2025,Multi-purpose CASH,WFP,1200000.09
2025,Agriculture,FAO,921238.97
2025,Multi-purpose CASH,WFP,1557007.59
2025,Food Aid,WFP,2999962.43
2025,Food Aid,WFP,1699999.89
2025,Food Aid,FAO,900069.39
2025,Agriculture,FAO,1093500.0
2025,Food Aid,WFP,1347374.7
2025,Nutrition,WFP,449124.9
2025,Multi-purpose CASH,WFP,2000000.78
2025,Food Aid,WFP,1000009.12
2025,Agriculture,FAO,600000.0
2025,Food Aid,WFP,600000.0
2025,Agriculture,FAO,500000.3
2025,Food Aid,WFP,1200000.0
2025,Agriculture,FAO,1400000.95
2025,Food Aid,WFP,1600000.11
2025,Agriculture,FAO,1000000.0
2025,Food Aid,WFP,3760005.35
2025,Nutrition,WFP,240000.34
2025,Food Aid,WFP,1178031.65
2025,Agriculture,FAO,500000.0
2025,Food Aid,WFP,1700000.0
2025,Agriculture,FAO,2100000.37
2025,Food Aid,WFP,2650000.0
2025,Agriculture,FAO,3000000.0
2025,Common Services,WFP,1000000.0
2025,Agriculture,FAO,1850000.47
2025,Food Aid,WFP,2960000.33
2025,Food Aid,FAO,1240001.16
2025,Agriculture,FAO,500000.0
2025,Agriculture,WFP,1800805.21
2025,Agriculture,FAO,1799999.97
2025,ALL,ALL,90698298.32
2026,Agriculture,FAO,915000.0
2026,Agriculture,FAO,1250000.0
2026,Multi-purpose CASH,WFP,1250000.02
2026,Food Aid,WFP,2305148.59
2026,Common Services,WFP,1055048.59
2026,Agriculture,FAO,1000000.0
2026,Food Aid,WFP,1250000.0
2026,ALL,ALL,9025197.2
