Year,Donor,Donor type,Paid,Pledged,Total
2025,Algeria,Member State,20000,0,20000
2025,Armenia,Member State,5000,0,5000
2025,Australia,Member State,8331480,0,8331480
2025,Austria,Member State,1158600,0,1158600
2025,Azerbaijan,Member State,100000,0,100000
2025,Bangladesh,Member State,25000,0,25000
2025,Basque Agency for Development Cooperation,Regional/ Local Authorities,283752,0,283752
2025,Belgian Government of Flanders,Regional/ Local Authorities,680580,0,680580
2025,Belgium,Member State,22950000,0,22950000
2025,Bhutan,Member State,1500,0,1500
2025,Brazil,Member State,0,125000,125000
2025,Cambodia,Member State,0,30000,30000
2025,Canada,Member State,21639923,0,21639923
2025,Catalan Agency for Development Cooperation,Regional/ Local Authorities,345651,0,345651
2025,Chile,Member State,30000,0,30000
2025,China,Member State,450000,0,450000
2025,Croatia,Member State,113620,0,113620
2025,Cyprus,Member State,200000,0,200000
2025,Czech Republic,Member State,62578,0,62578
2025,Denmark,Member State,36167145,0,36167145
2025,Estonia,Member State,55380,0,55380
2025,Finland,Member State,5855000,0,5855000
2025,France,Member State,3512880,0,3512880
2025,Germany,Member State,52600750,0,52600750
2025,Greece,Member State,112990,0,112990
2025,Guyana,Member State,50000,0,50000
2025,Holy See (Vatican City State),Observer,5000,0,5000
2025,Iceland,Member State,1577477,0,1577477
2025,Indonesia,Member State,0,220000,220000
2025,Ireland,Member State,22066460,0,22066460
2025,Italy,Member State,4669564,0,4669564
2025,Japan,Member State,52006,0,52006
2025,Republic of Korea,Member State,18000000,0,18000000
2025,Kuwait,Member State,1000000,0,1000000
2025,Liechtenstein,Member State,376458,0,376458
2025,Lithuania,Member State,108530,0,108530
2025,Luxembourg,Member State,6898350,0,6898350
2025,Malta,Member State,42096,0,42096
2025,Monaco,Member State,339762,0,339762
2025,Mongolia,Member State,0,10000,10000
2025,Montenegro,Member State,9924,0,9924
2025,Morocco,Member State,50000,0,50000
2025,Netherlands,Member State,71501000,0,71501000
2025,New Zealand,Member State,1802700,0,1802700
2025,Norway,Member State,41942843,0,41942843
2025,Oman,Member State,300000,0,300000
2025,Peru,Member State,5185,0,5185
2025,Philippines,Member State,250000,0,250000
2025,Poland,Member State,1642087,0,1642087
2025,Portugal,Member State,990119,0,990119
2025,"Private donations outside UN Foundation (under $10,000)",Private,6000,0,6000
2025,"Private donations through UN Foundation (under $10,000)",Private Contributions through UNF,177680,0,177680
2025,Qatar,Member State,1000000,0,1000000
2025,Russian Federation,Member State,1500000,0,1500000
2025,San Marino,Member State,22804,0,22804
2025,Saudi Arabia,Member State,1000000,0,1000000
2025,Singapore,Member State,50000,0,50000
2025,Slovenia,Member State,107700,0,107700
2025,Spain,Member State,5107832,0,5107832
2025,Sweden,Member State,20424947,0,20424947
2025,Switzerland,Member State,6321112,0,6321112
2025,Thailand,Member State,20000,0,20000
2025,Tunisia,Member State,0,0,0
2025,Türkiye,Member State,700000,0,700000
2025,United Kingdom,Member State,67982544,0,67982544
2025,Vietnam,Member State,10000,0,10000
2025,Kyrgyzstan,Member State,0,500,500
2025,Mauritius,Member State,5000,0,5000
2025,"Stripe, Ireland",Private,319808,0,319808
2025,Qatar Charity,Private,0,2000000,2000000
2025,Zimbabwe,Member State,0,20000,20000
2025,,,20000,0,20000
2025,,,0,5946,5946
