Year,Cluster,Agency,Budget
2016,Shelter and Non-Food Items,IOM,600000
2016,Food Assistance,WFP,3312409
2016,Health,WHO,94695
2016,Health,UNFPA,248413
2016,Protection,UNOPS,232232
2016,Multi-Sector Refugee Assistance,UNHCR,5294649
2016,Agriculture,FAO,833373
2016,Health,WHO,3286149
2016,Nutrition,UNICEF,2795003
2016,Water Sanitation Hygiene,UNICEF,1074861
2016,Shelter and Non-Food Items,UNDP,610800
2016,Shelter and Non-Food Items,IOM,980591
2016,Food Assistance,WFP,1340302
2016,Health,UNFPA,515164
2016,Health,IOM,187093
2016,Nutrition,UNICEF,282667
2016,Protection,UNICEF,107873
2016,Protection,UNFPA,313999
2016,Water Sanitation Hygiene,UNICEF,315400
2016,Water Sanitation Hygiene,IOM,236149
2016,Food Assistance,WFP,2485459
2016,Health,WHO,400000
2016,Health,UNFPA,200240
2016,Protection,UNICEF,501413
2016,Water Sanitation Hygiene,UNICEF,600431
2016,Education,UNICEF,230831
2016,Food Assistance,WFP,814776
2016,Protection,UNICEF,258859
2016,Water Sanitation Hygiene,UNICEF,307826
2016,Multi-Sector Refugee Assistance,UNHCR,1373271
2016,Camp Coordination / Management,IOM,200000
2016,Shelter and Non-Food Items,UNHCR,601285
2016,Shelter and Non-Food Items,UNICEF,600042
2016,Food Assistance,WFP,3990302
2016,Health,WHO,600000
2016,Health,UNICEF,450000
2016,Health,UNFPA,350000
2016,Nutrition,WFP,750000
2016,Nutrition,UNICEF,750006
2016,Protection,UNHCR,399997
2016,Protection,UNICEF,299920
2016,Water Sanitation Hygiene,UNICEF,1000000
2016,Food Assistance,WFP,1228025
2016,Health,UNFPA,187304
2016,Water Sanitation Hygiene,UNICEF,550087
2016,Education,UNICEF,255868
2016,Shelter and Non-Food Items,UNDP,1632301
2016,Agriculture,FAO,419148
2016,Food Assistance,WFP,1637595
2016,Health,WHO,288475
2016,Health,UNFPA,101012
2016,Water Sanitation Hygiene,UNICEF,1018337
2016,Agriculture,FAO,593443
2016,Food Assistance,WFP,999744
2016,Health,WHO,751729
2016,Health,UNFPA,248384
2016,Nutrition,WFP,789986
2016,Nutrition,UNICEF,462882
2016,Water Sanitation Hygiene,UNICEF,1208351
2016,Agriculture,FAO,250000
2016,Food Assistance,WFP,1700002
2016,Health,WHO,1245089
2016,Health,UNICEF,611901
2016,Health,UNFPA,248790
2016,Multi-Sector Refugee Assistance,UNHCR,1538397
2016,Agriculture,FAO,550001
2016,Food Assistance,WFP,719901
2016,Health,WHO,300130
2016,Health,IOM,199983
2016,Nutrition,UNICEF,100003
2016,Water Sanitation Hygiene,UNICEF,102036
2016,Shelter and Non-Food Items,UNHCR,250000
2016,Shelter and Non-Food Items,IOM,1750000
2016,Food Assistance,WFP,2000000
2016,Health,WHO,541991
2016,Health,UNICEF,300011
2016,Health,UNFPA,147860
2016,Protection,UNHCR,173929
2016,Protection,UN Women,165413
2016,Protection,UNICEF,160500
2016,Water Sanitation Hygiene,WHO,260681
2016,Water Sanitation Hygiene,UNICEF,1750964
2016,Food Assistance,WFP,2170297
2016,Water Sanitation Hygiene,UNICEF,2990796
2016,Multi-Sector Refugee Assistance,UNHCR,3200770
2016,Multi-Sector Refugee Assistance,IOM,1130000
2016,Early Recovery,UNDP,124174
2016,Education,UNICEF,798719
2016,Shelter and Non-Food Items,IOM,1100067
2016,Agriculture,FAO,535826
2016,Food Assistance,WFP,2028640
2016,Health,WHO,672699
2016,Health,UNFPA,300472
2016,Nutrition,UNICEF,328383
2016,Protection,UN Women,189123
2016,Protection,UNICEF,209966
2016,Protection,UNFPA,198148
2016,Protection,IOM,200000
2016,Water Sanitation Hygiene,UNICEF,1082575
2016,Common Services,WFP,253590
2016,Food Assistance,WFP,3632115
2016,Health,WHO,697561
2016,Nutrition,UNICEF,500014
2016,Health,UNDP,500014
2016,Health,WHO,1649010
2016,Health,UNICEF,822295
2016,Education,UNICEF,579741
2016,Shelter and Non-Food Items,IOM,2964970
2016,Agriculture,FAO,876097
2016,Food Assistance,WFP,1767870
2016,Health,WHO,685292
2016,Health,UNICEF,252417
