Year,Cluster,Agency,Budget
2025,Camp Coordination / Management,IOM,1200000
2025,Shelter and Non-Food Items,UNHCR,637938.98
2025,Shelter and Non-Food Items,IOM,500000
2025,Agriculture,FAO,1700000.1
2025,Food Aid,WFP,3737497.73
2025,Health,UNFPA,899994.47
2025,Protection,UNHCR,1050000
2025,Protection,UN Women,235000.04
2025,Protection,UNICEF,495000
2025,Protection,UNFPA,99999.39
2025,Protection,IOM,2800000
2025,Water Sanitation Hygiene,UNICEF,2420720.92
2025,Common Services,WFP,1012498.14
2025,Multi-purpose CASH,UNHCR,2310000
2025,Multi-purpose CASH,UN Women,265000.05
2025,Multi-purpose CASH,WFP,1738000.22
2025,Multi-purpose CASH,UNICEF,582191.75
2025,Health,WHO,799873.54
2025,Water Sanitation Hygiene,UNICEF,1000000
2025,Agriculture,FAO,150000
2025,Food Aid,WFP,450000.09
2025,Water Sanitation Hygiene,UNICEF,399997.19
2025,Shelter and Non-Food Items,UNHCR,2325000.44
2025,Food Aid,WFP,1599998.06
2025,Health,WHO,1975000.02
2025,Shelter and Non-Food Items,UNHCR,2400024.56
2025,Food Aid,WFP,850075.62
2025,Health,WHO,719885.3
2025,Protection,UNHCR,599981.8300000001
2025,Water Sanitation Hygiene,UNICEF,1429332.42
2025,Health,WHO,395639.99
2025,Water Sanitation Hygiene,UNICEF,600000
2025,Education,UNICEF,299088.48
2025,Shelter and Non-Food Items,UNHCR,549999.99
2025,Food Aid,WFP,1500000
2025,Nutrition,UNICEF,286084.63
2025,Protection,UNHCR,450000
2025,Protection,UNICEF,364107.72
2025,Water Sanitation Hygiene,UNICEF,351103.87
2025,Education,UNICEF,249975
2025,Shelter and Non-Food Items,UNDP,1950000
2025,Agriculture,FAO,710015.61
2025,Food Aid,WFP,1340000
2025,Health,WHO,1140000.52
2025,Health,UNFPA,300000
2025,Water Sanitation Hygiene,UNICEF,1150025
2025,Common Services,WFP,660000
2025,Camp Coordination / Management,IOM,100000.01
2025,Shelter and Non-Food Items,UNHCR,2140174.6
2025,Shelter and Non-Food Items,IOM,900000.06
2025,Food Aid,WFP,4399915.5
2025,Health,WHO,7525000.42
2025,Health,UNICEF,300000
2025,Health,UNFPA,1000000
2025,Nutrition,UNICEF,499950.06
2025,Protection,UNHCR,1960083.3599999999
2025,Protection,UNICEF,499950.06
2025,Protection,UNFPA,2500000.01
2025,Water Sanitation Hygiene,UNICEF,5567133.17
2025,Common Services,WFP,1499888.3199999998
2025,Multi-purpose CASH,WFP,2849999.64
2025,To be determined,,750000
2025,Food Aid,WFP,1000000.47
2025,Multi-Sector Refugee Assistance,UNHCR,2000000
2025,Agriculture,FAO,1200000
2025,Food Aid,WFP,320000
2025,Health,WHO,400000
2025,Nutrition,UNICEF,400000
2025,Water Sanitation Hygiene,UNICEF,400000
2025,Multi-purpose CASH,WFP,1280000
2025,Camp Coordination / Management,IOM,1000000
2025,Shelter and Non-Food Items,IOM,1000000
2025,Agriculture,FAO,700000
2025,Food Aid,WFP,1299999.99
2025,Health,WHO,1380000
2025,Health,UNICEF,283800
2025,Protection,UNICEF,309600.01
2025,Protection,UNFPA,1040125.6
2025,Water Sanitation Hygiene,UNICEF,2154600.14
2025,Multi-purpose CASH,WFP,2000000
2025,Multi-purpose CASH,UNICEF,1032000.62
2025,Multi-purpose CASH,IOM,800000.02
2025,To be determined,,10000000
2025,Camp Coordination / Management,IOM,119994
2025,Education,UNICEF,270000
2025,Shelter and Non-Food Items,IOM,300006
2025,Agriculture,FAO,300000.66
2025,Food Aid,WFP,599998.21
2025,Health,WHO,329999.87
2025,Health,UNFPA,90000
2025,Protection,UNICEF,152999.99
2025,Protection,UNFPA,210000
2025,Water Sanitation Hygiene,UNICEF,450000
2025,Common Services,WFP,149999.55
2025,Common Services,UNICEF,27000
2025,Health,WHO,999999.06
2025,Camp Coordination / Management,IOM,700004.15
2025,Shelter and Non-Food Items,IOM,2899699.2
2025,Food Aid,WFP,4132481.1
2025,Health,UNICEF,1200208.25
2025,Health,UNFPA,399980.24
2025,Health,IOM,499950.02
2025,Protection,UNHCR,1350000.75
2025,Protection,UNICEF,749498.44
2025,Protection,UNFPA,300020.18
2025,Water Sanitation Hygiene,UNICEF,3801118.88
2025,Common Services,WFP,20665.62
2025,Shelter and Non-Food Items,UNHCR,3152499.38
2025,Health,WHO,1500000.47
2025,Health,UNFPA,577499.31
2025,Protection,UNHCR,97499.98
2025,Protection,UNICEF,300000.01
2025,Protection,UNFPA,172499.8
2025,Water Sanitation Hygiene,UNICEF,1000050.01
2025,Multi-purpose CASH,WFP,1500000
2025,Multi-purpose CASH,UNICEF,199950
2025,Multi-purpose CASH,IOM,1500000
2025,Shelter and Non-Food Items,IOM,999999.95
2025,Agriculture,FAO,400129.18
2025,Health,WHO,1600000.1600000001
2025,Health,UNICEF,500101.19
2025,Nutrition,WFP,1499999.95
2025,Nutrition,UNICEF,2000104.74
2025,Protection,UNHCR,500000.46
2025,Water Sanitation Hygiene,UNICEF,1749801.93
2025,Multi-purpose CASH,WFP,1750000.49
2025,To be determined,,20000000
2025,Shelter and Non-Food Items,IOM,500000
2025,Health,WHO,750000
2025,Health,UNFPA,750000
2025,Water Sanitation Hygiene,UNICEF,1800000
2025,Multi-purpose CASH,WFP,1200000.09
2025,Camp Coordination / Management,IOM,545791
2025,Shelter and Non-Food Items,IOM,1637373
2025,Agriculture,FAO,921238.97
2025,Health,UNFPA,186445.62
2025,Nutrition,UNICEF,5410.08
2025,Protection,UNICEF,5410.08
2025,Protection,UNFPA,559336.85
2025,Water Sanitation Hygiene,UNICEF,5410.08
