Year,Cluster,Agency,Budget
2024,Food Assistance,WFP,907500
2024,Nutrition,WFP,742500
2024,Nutrition,UNICEF,849127
2024,Water Sanitation Hygiene,UNICEF,498693
2024,Education,UNICEF,68994
2024,Agriculture,FAO,1370285
2024,Food Aid,WFP,2000000
2024,Health,UNICEF,499950.18
2024,Health,UNFPA,1154464.37
2024,Protection,UNFPA,702577
2024,Water Sanitation Hygiene,UNICEF,3133247.36
2024,Common Services,UNICEF,252978
2024,Multi-purpose CASH,WFP,8200000
2024,Multi-purpose CASH,UNICEF,229980
2024,Food Assistance,WFP,754000
2024,Health,WHO,600003
2024,Nutrition,WFP,261000
2024,Nutrition,UNICEF,375002
2024,Protection,UNHCR,750000
2024,Water Sanitation Hygiene,UNICEF,375002
2024,Common Services,WFP,1885000
2024,Shelter and Non-Food Items,IOM,800000
2024,Food Assistance,WFP,650000
2024,Health,UNICEF,102000
2024,Protection,UNICEF,153000
2024,Protection,UNFPA,200771
2024,Water Sanitation Hygiene,UNICEF,595002
2024,Education,UNICEF,520062.81
2024,Shelter and Non-Food Items,UNHCR,920026.34
2024,Agriculture,FAO,460000.49
2024,Food Aid,WFP,460000
2024,Health,WHO,799997.27
2024,Water Sanitation Hygiene,UNICEF,839934.09
2024,Camp Coordination / Management,UNHCR,500000.2
2024,Camp Coordination / Management,IOM,500000
2024,Shelter and Non-Food Items,UNHCR,4100040.73
2024,Shelter and Non-Food Items,IOM,199990
2024,Agriculture,FAO,800000
2024,Food Aid,WFP,4500000
2024,Health,WHO,1500003.25
2024,Health,UNFPA,300026.18
2024,Protection,UNHCR,500000.2
2024,Protection,UNICEF,500000.15
2024,Protection,UNFPA,749975.98
2024,Water Sanitation Hygiene,UNICEF,3700010.24
2024,Water Sanitation Hygiene,IOM,150010
2024,Health,WHO,500000
2024,Health,UNICEF,59994
2024,Water Sanitation Hygiene,UNICEF,439956
2024,Education,UNICEF,299984.55
2024,Shelter and Non-Food Items,UNDP,2180000
2024,Shelter and Non-Food Items,IOM,250000
2024,Agriculture,FAO,780024.1200000001
