Year,Cluster,Agency,Budget
2020,Agriculture,FAO,5000000
2020,Food Assistance,WFP,10000000
2020,Education,UNICEF,386998
2020,Agriculture,FAO,781748
2020,Health,WHO,284955
2020,Nutrition,UNICEF,1074995
2020,Protection,UNICEF,214999
2020,Protection,UNFPA,285000
2020,Water Sanitation Hygiene,UNICEF,472998
2020,Shelter and Non-Food Items,UNDP,939946
2020,Agriculture,FAO,1460000
2020,Health,UNFPA,13172
2020,Nutrition,UNICEF,212535
2020,Protection,UNICEF,362560
2020,Protection,UNFPA,1437806
2020,Water Sanitation Hygiene,UNICEF,675112
2020,Multi-purpose CASH,WFP,5100000
2020,Shelter and Non-Food Items,UNHCR,3999959
2020,Food Assistance,WFP,6000000
2020,Health,WHO,2000126
2020,Protection,UNOPS,405350
2020,Protection,UNICEF,510000
2020,Protection,UNFPA,600000
2020,Water Sanitation Hygiene,UNICEF,2489998
2020,Shelter and Non-Food Items,UNHCR,500000
2020,Shelter and Non-Food Items,IOM,337811
2020,Food Assistance,WFP,3375019
2020,Health,WHO,799934
2020,Health,UNICEF,313514
2020,Health,UNFPA,142901
2020,Nutrition,WFP,1125006
2020,Protection,UNICEF,185258
2020,Protection,UNFPA,428704
2020,Protection,IOM,181899
2020,Water Sanitation Hygiene,UNICEF,1326944
2020,Common Services,WFP,1000994
2020,Shelter and Non-Food Items,IOM,1000000
2020,Food Assistance,WFP,2100000
2020,Protection,UNHCR,1005176
2020,Water Sanitation Hygiene,UNICEF,399996
2020,Education,UNHCR,481729
2020,Education,WFP,292008
2020,Education,UNICEF,1065504
2020,Shelter and Non-Food Items,UNICEF,2219799
2020,Shelter and Non-Food Items,IOM,1829152
2020,Food Assistance,WFP,876023
2020,Health,WHO,7444356
2020,Health,UNFPA,719994
2020,Health,IOM,1195984
2020,Nutrition,WFP,13432345
2020,Nutrition,UNICEF,2219799
2020,Protection,UNHCR,2742146
2020,Protection,UNICEF,1598255
2020,Protection,UNFPA,1079991
2020,Water Sanitation Hygiene,UNHCR,481729
2020,Water Sanitation Hygiene,UNICEF,1775839
2020,Water Sanitation Hygiene,IOM,492464
2020,Food Assistance,WFP,737350
2020,Health,WHO,990000
2020,Agriculture,FAO,11500000
2020,Shelter and Non-Food Items,IOM,525000
2020,Agriculture,FAO,375000
2020,Food Assistance,WFP,1099844
2020,Water Sanitation Hygiene,UNICEF,1000040
2020,Education,UNICEF,1992677
2020,Shelter and Non-Food Items,IOM,4500001
2020,Agriculture,FAO,8000001
2020,Health,WHO,5699270
2020,Nutrition,UNICEF,3004759
2020,Protection,UNHCR,1500000
2020,Protection,UNICEF,61629
2020,Protection,UNFPA,160284
2020,Water Sanitation Hygiene,UNICEF,9306033
2020,Shelter and Non-Food Items,IOM,100000
2020,Food Assistance,WFP,599843
2020,Health,WHO,102828
2020,Water Sanitation Hygiene,UNICEF,200077
2020,Camp Coordination / Management,IOM,891000
2020,Education,UNICEF,2892500
2020,Shelter and Non-Food Items,UNHCR,345001
2020,Agriculture,FAO,3000000
2020,Health,UNDP,3200000
2020,Health,UNHCR,276001
2020,Health,WHO,20000000
2020,Health,UNICEF,7080000
2020,Health,UNFPA,2240000
2020,Health,IOM,16278986
2020,Protection,UNICEF,2692500
2020,Protection,UNFPA,960000
2020,Protection,IOM,1577728
2020,Water Sanitation Hygiene,UNHCR,1656006
2020,Water Sanitation Hygiene,UN Habitat,49996
2020,Water Sanitation Hygiene,UNICEF,3285000
2020,Water Sanitation Hygiene,IOM,9026838
2020,Common Services,WFP,40000000
2020,Multi-Sector Refugee Assistance,UNHCR,4623019
2020,Food Assistance,WFP,1150000
2020,Health,WHO,600000
2020,Nutrition,UNICEF,386095
2020,Water Sanitation Hygiene,UNICEF,386095
2020,Food Assistance,WFP,1300000
2020,Health,WHO,1301926
2020,Water Sanitation Hygiene,UNICEF,1300000
2020,Shelter and Non-Food Items,IOM,390000
2020,Food Assistance,WFP,1037399
2020,Health,UNICEF,510001
2020,Water Sanitation Hygiene,UNICEF,966018
2020,Common Services,WFP,102600
2020,Shelter and Non-Food Items,UN Habitat,799992
2020,Health,UN Habitat,99999
2020,Health,WHO,4000009
2020,Protection,UN Habitat,99999
2020,Common Services,WFP,999481
2020,Nutrition,UNICEF,195001
2020,Water Sanitation Hygiene,UNICEF,555001
2020,Agriculture,FAO,599918
2020,Food Assistance,WFP,506000
2020,Health,UNICEF,980500
2020,Health,UNFPA,200000
2020,Nutrition,WFP,253000
2020,Nutrition,UNICEF,370000
2020,Protection,UNFPA,200001
2020,Water Sanitation Hygiene,UNICEF,499500
2020,Multi-purpose CASH,WFP,391000
2020,Education,UNICEF,203500
2020,Agriculture,FAO,899999
2020,Food Assistance,WFP,1891131
2020,Health,WHO,599593
2020,Nutrition,WFP,1209083
2020,Nutrition,UNICEF,1258000
2020,Protection,UNHCR,549999
2020,Protection,UNICEF,388500
2020,Camp Coordination / Management,IOM,443925
2020,Education,UNICEF,139068
2020,Shelter and Non-Food Items,IOM,1437473
2020,Agriculture,FAO,300000
2020,Food Assistance,WFP,1615475
2020,Health,WHO,226495
2020,Health,UNFPA,87736
2020,Nutrition,WFP,130280
2020,Nutrition,UNICEF,117673
2020,Protection,UNHCR,349848
2020,Protection,UNICEF,171160
2020,Protection,UNFPA,249712
2020,Protection,IOM,232532
2020,Water Sanitation Hygiene,UNICEF,641852
2020,Common Services,WFP,859850
2020,Agriculture,FAO,657001
2020,Nutrition,WFP,500000
2020,Nutrition,UNICEF,1065000
2020,Protection,UNICEF,90000
2020,Protection,UNFPA,343028
2020,Water Sanitation Hygiene,UNICEF,345000
2020,Early Recovery,WFP,504000
2020,Food Assistance,WFP,396000
2020,Health,WHO,600000
2020,Protection,UNICEF,100000
2020,Water Sanitation Hygiene,UNICEF,400000
2020,Education,UNICEF,400196
2020,Shelter and Non-Food Items,UNICEF,900442
2020,Shelter and Non-Food Items,IOM,2000000
2020,Food Assistance,WFP,1005027
2020,Health,UNICEF,767331
2020,Health,UNFPA,299999
2020,Nutrition,WFP,495014
2020,Protection,UNHCR,2000142
2020,Protection,UNFPA,200000
2020,Water Sanitation Hygiene,UNICEF,1952305
2020,Multi-Sector Refugee Assistance,UNHCR,1000014
2020,Food Assistance,UNRWA,22293277
2020,Agriculture,FAO,800000
2020,Food Assistance,WFP,3449888
2020,Health,WHO,650014
2020,Health,UNFPA,100000
2020,Nutrition,UNICEF,250000
2020,Water Sanitation Hygiene,UNICEF,750000
2020,Camp Coordination / Management,IOM,160000
2020,Shelter and Non-Food Items,IOM,840000
2020,Food Assistance,WFP,626937
2020,Health,UNICEF,245942
2020,Protection,UNICEF,173607
2020,Water Sanitation Hygiene,UNICEF,1027171
2020,Common Services,WFP,40017
2020,Shelter and Non-Food Items,UNHCR,802578
2020,Agriculture,FAO,750000
2020,Food Assistance,WFP,1850016
2020,Health,WHO,150000
2020,Health,UNICEF,420167
2020,Health,UNFPA,192000
2020,Nutrition,WFP,57217
2020,Protection,UNFPA,208000
2020,Water Sanitation Hygiene,UNHCR,200645
2020,Water Sanitation Hygiene,UNICEF,1195858
2020,Common Services,WFP,1100500
2020,Early Recovery,UNDP,1200000
2020,Early Recovery,IOM,1950000
2020,Education,UNICEF,4605478
2020,Shelter and Non-Food Items,UNHCR,14385516
2020,Agriculture,UNDP,1800000
2020,Agriculture,FAO,2973215
2020,Food Assistance,WFP,18000000
2020,Health,UNHCR,900000
2020,Health,WHO,1254624
2020,Health,UNICEF,4375204
2020,Health,UNFPA,3030013
2020,Nutrition,WFP,12000000
2020,Nutrition,WHO,2424383
2020,Nutrition,UNICEF,8059588
2020,Protection,UNHCR,15581311
2020,Protection,UNICEF,2302739
2020,Protection,UNFPA,1010004
2020,Water Sanitation Hygiene,WHO,1295392
2020,Water Sanitation Hygiene,UNICEF,3684383
2020,Common Services,IOM,540000
2020,Multi-purpose CASH,UNHCR,1492991
2020,Multi-purpose CASH,IOM,510000
2020,Shelter and Non-Food Items,IOM,800000
2020,Agriculture,FAO,200000
2020,Shelter and Non-Food Items,UNHCR,2500486
2020,Shelter and Non-Food Items,IOM,500000
2020,Agriculture,FAO,2300000
2020,Food Assistance,WFP,2285475
2020,Health,WHO,2800063
2020,Health,UNICEF,2199994
2020,Nutrition,WFP,500000
2020,Nutrition,UNICEF,500000
2020,Protection,UNHCR,302597
2020,Water Sanitation Hygiene,UNICEF,3301942
2020,Water Sanitation Hygiene,IOM,3299945
2020,Common Services,WFP,1600041
2020,Shelter and Non-Food Items,IOM,1400000
2020,Agriculture,FAO,300000
2020,Food Assistance,WFP,18009798
2020,Health,WHO,1199199
2020,Protection,UNHCR,500000
2020,Protection,UNICEF,500000
2020,Protection,UNFPA,1460000
2020,Water Sanitation Hygiene,UNICEF,2740349
2020,Common Services,WFP,490000
2020,Shelter and Non-Food Items,UNHCR,11466000
2020,Shelter and Non-Food Items,IOM,5400000
2020,Food Assistance,WFP,6000000
2020,Protection,UNHCR,1134000
2020,Water Sanitation Hygiene,UNICEF,4987671
2020,Common Services,WFP,1008073
2020,Shelter and Non-Food Items,UNHCR,799742
2020,Agriculture,FAO,800000
2020,Health,WHO,769770
2020,Health,UNFPA,79940
2020,Protection,UNICEF,189832
2020,Protection,UNFPA,90146
2020,Water Sanitation Hygiene,UNICEF,403393
2020,Water Sanitation Hygiene,IOM,818489
2020,Shelter and Non-Food Items,IOM,492000
2020,Agriculture,FAO,440000
2020,Health,WHO,342635
2020,Health,UNFPA,241558
2020,Nutrition,UNICEF,195785
2020,Water Sanitation Hygiene,UNICEF,694145
2020,Common Services,WFP,199262
2020,Shelter and Non-Food Items,UNDP,1000000
2020,Health,UNFPA,291320
2020,Nutrition,UNICEF,324000
2020,Protection,UNICEF,216000
2020,Protection,UNFPA,508569
2020,Water Sanitation Hygiene,UNICEF,660000
2020,Food Assistance,WFP,30000000
2020,Agriculture,FAO,1000005
2020,Food Assistance,WFP,26789116
2020,Health,WHO,599326
2020,Health,UNICEF,700381
2020,Health,UNFPA,649725
2020,Nutrition,UNICEF,1751850
2020,Protection,UNICEF,800004
2020,Protection,UNFPA,803030
2020,Water Sanitation Hygiene,UNICEF,1799699
2020,Agriculture,FAO,2000000
2020,Agriculture,FAO,5000000
2020,Health,WHO,1499974
2020,Health,IOM,500000
2020,Nutrition,WFP,1625000
2020,Nutrition,WHO,239996
2020,Nutrition,UNICEF,1638750
2020,Protection,UNFPA,1000000
2020,Water Sanitation Hygiene,WHO,259995
2020,Water Sanitation Hygiene,UNICEF,1236250
2020,Education,UNHCR,1395509
2020,Education,UNICEF,3494543
2020,Camp Coordination / Management,UNHCR,1005000
2020,Shelter and Non-Food Items,UNHCR,495000
2020,Agriculture,FAO,1500000
2020,Health,WHO,1050000
2020,Nutrition,UNICEF,405515
2020,Protection,UNFPA,750003
2020,Water Sanitation Hygiene,UNICEF,495630
2020,Common Services,WFP,300000
2020,Camp Coordination / Management,IOM,149500
2020,Education,UNICEF,47500
2020,Shelter and Non-Food Items,UNHCR,180035
2020,Shelter and Non-Food Items,IOM,500500
2020,Food Assistance,WFP,1500000
2020,Protection,UNICEF,266000
2020,Protection,UNFPA,700000
2020,Water Sanitation Hygiene,UNICEF,636500
2020,Common Services,UNHCR,312060
2020,Multi-purpose CASH,UNHCR,708136
2020,Camp Coordination / Management,UNHCR,204310
2020,Camp Coordination / Management,IOM,180000
2020,Shelter and Non-Food Items,UNHCR,771836
2020,Shelter and Non-Food Items,IOM,820000
2020,Agriculture,FAO,700000
2020,Food Assistance,WFP,1798503
2020,Health,WHO,250048
2020,Nutrition,WFP,926502
2020,Nutrition,UNICEF,1343751
2020,Protection,UNHCR,158908
2020,Protection,UNICEF,718750
2020,Protection,UNFPA,199500
2020,Water Sanitation Hygiene,UNHCR,726435
2020,Water Sanitation Hygiene,UNICEF,1062500
2020,Common Services,WFP,1000000
2020,Multi-Sector Refugee Assistance,UNHCR,408619
2020,Multi-Sector Refugee Assistance,UNFPA,750500
2020,Education,UNICEF,130472
2020,Agriculture,WFP,524817
2020,Food Assistance,WFP,364704
2020,Health,WHO,1108977
2020,Health,UNFPA,549518
