Year,Cluster,Agency,Budget
2019,Agriculture,FAO,743083
2019,Health,WHO,444882
2019,Health,UNFPA,293324
2019,Nutrition,UNICEF,2799851
2019,Protection,UNFPA,293323
2019,Water Sanitation Hygiene,UNICEF,1768269
2019,Camp Coordination / Management,IOM,196000
2019,Shelter and Non-Food Items,IOM,204001
2019,Protection,UNFPA,202150
2019,Common Services,WFP,400000
2019,Shelter and Non-Food Items,UNDP,750000
2019,Agriculture,UN Women,650000
2019,Agriculture,FAO,850002
2019,Food Assistance,WFP,1000000
2019,Health,UNFPA,510146
2019,Protection,UNFPA,490140
2019,Water Sanitation Hygiene,UNICEF,988948
2019,Shelter and Non-Food Items,UNHCR,996400
2019,Food Assistance,WFP,1289088
2019,Health,WHO,142124
2019,Health,UNICEF,88595
2019,Health,UNFPA,100000
2019,Protection,UNHCR,63600
2019,Protection,UNICEF,149504
2019,Protection,UNFPA,300000
2019,Water Sanitation Hygiene,UNICEF,869336
2019,Health,UNHCR,150092
2019,Health,WHO,819999
2019,Health,IOM,254994
2019,Water Sanitation Hygiene,UNICEF,600000
2019,Common Services,WFP,559796
2019,Education,UNICEF,295050
2019,Shelter and Non-Food Items,UNDP,436288
2019,Agriculture,UNDP,200001
2019,Agriculture,FAO,359386
2019,Food Assistance,WFP,405798
2019,Health,WHO,237703
2019,Health,UNICEF,245875
2019,Health,UNFPA,242508
2019,Nutrition,UNICEF,0
2019,Protection,UNICEF,0
2019,Water Sanitation Hygiene,UNICEF,442575
2019,Common Services,WFP,129000
2019,Education,UNICEF,177636
2019,Shelter and Non-Food Items,UNDP,899999
2019,Shelter and Non-Food Items,IOM,205729
2019,Food Assistance,WFP,149962
2019,Health,WHO,200000
2019,Health,UNFPA,110000
2019,Water Sanitation Hygiene,UNICEF,251895
2019,Agriculture,FAO,1499890
2019,Food Assistance,WFP,1000000
2019,Nutrition,WFP,1500000
2019,Nutrition,UNICEF,1000008
2019,Water Sanitation Hygiene,UNICEF,1000000
2019,Early Recovery,UNICEF,983984
2019,Health,WHO,4653848
2019,Health,UNICEF,1237906
2019,Health,UNFPA,700102
2019,Health,IOM,1999062
2019,Nutrition,UNICEF,354234
2019,Protection,UNICEF,590391
2019,Protection,IOM,2000000
2019,Water Sanitation Hygiene,UNICEF,1416937
2019,Education,UNICEF,142800
2019,Shelter and Non-Food Items,UNICEF,193801
2019,Shelter and Non-Food Items,IOM,338444
2019,Agriculture,FAO,300000
2019,Water Sanitation Hygiene,UNDP,100024
2019,Water Sanitation Hygiene,UNICEF,173400
2019,Agriculture,FAO,345000
2019,Food Assistance,WFP,958859
2019,Health,WHO,215000
2019,Nutrition,UNICEF,264000
2019,Water Sanitation Hygiene,UNICEF,216000
2019,Shelter and Non-Food Items,UNICEF,214736
2019,Shelter and Non-Food Items,IOM,6000000
2019,Agriculture,FAO,6500000
2019,Health,WHO,2202013
2019,Health,UNFPA,423579
2019,Health,IOM,435000
2019,Protection,UNHCR,500000
2019,Protection,UNICEF,644208
2019,Protection,UNFPA,497245
2019,Water Sanitation Hygiene,UNICEF,3498667
2019,Common Services,UNDP,194312
2019,Agriculture,FAO,300031
2019,Food Assistance,WFP,711228
2019,Health,WHO,370629
2019,Nutrition,UNICEF,604711
2019,Agriculture,FAO,1625000
2019,Food Assistance,WFP,3000000
2019,Nutrition,UNICEF,456432
2019,Common Services,WFP,1054807
2019,Shelter and Non-Food Items,UNHCR,685705
2019,Health,WHO,329122
2019,Health,UNICEF,251150
2019,Health,UNFPA,75886
2019,Water Sanitation Hygiene,UNICEF,515784
2019,Water Sanitation Hygiene,UNFPA,113829
2019,Shelter and Non-Food Items,UNICEF,199999
2019,Shelter and Non-Food Items,IOM,200000
2019,Agriculture,FAO,1300000
2019,Food Assistance,WFP,396000
2019,Health,WHO,699999
2019,Health,UNICEF,459514
2019,Health,UNFPA,348900
2019,Nutrition,WFP,1000000
2019,Nutrition,UNICEF,1000190
2019,Protection,UNICEF,250139
2019,Protection,UNFPA,249845
2019,Water Sanitation Hygiene,UNICEF,1400003
2019,Common Services,WFP,504000
2019,Agriculture,FAO,2342936
2019,Food Assistance,WFP,3686917
2019,Health,WHO,250339
2019,Nutrition,UNICEF,157427
2019,Protection,UNICEF,119883
2019,Protection,UNFPA,400196
2019,Protection,IOM,301655
2019,Water Sanitation Hygiene,UNICEF,591175
2019,Shelter and Non-Food Items,UNHCR,137500
2019,Food Assistance,WFP,300000
2019,Health,WHO,800000
2019,Protection,UNHCR,137500
2019,Protection,UNFPA,225000
2019,Water Sanitation Hygiene,UNICEF,400001
2019,Common Services,UNDP,156254
2019,Common Services,WFP,1602143
