Year,Cluster,Agency,Budget
2022,Education,UNICEF,750000
2022,Food Assistance,WFP,4000000
2022,Health,WHO,1237500
2022,Water Sanitation Hygiene,WHO,1012500
2022,Water Sanitation Hygiene,UNICEF,3000000
2022,Agriculture,FAO,500000
2022,Food Assistance,WFP,1800000
2022,Health,UNFPA,289000
2022,Nutrition,UNICEF,198000
2022,Protection,UN Women,200012
2022,Protection,UNICEF,478500
2022,Protection,UNFPA,561001
2022,Water Sanitation Hygiene,UNICEF,973500
2022,Agriculture,FAO,500000
2022,Food Assistance,WFP,3780000
2022,Health,WHO,500000
2022,Nutrition,UNICEF,504025
2022,Water Sanitation Hygiene,UNICEF,296014
2022,Common Services,WFP,420000
2022,Agriculture,FAO,1900003
2022,Food Assistance,WFP,2100004
2022,Health,WHO,501000
2022,Health,WHO,499989
2022,Water Sanitation Hygiene,UNICEF,1220506
2022,Agriculture,FAO,3500000
2022,Food Assistance,WFP,5200000
2022,Health,WHO,900495
2022,Nutrition,UNICEF,1980000
2022,Protection,UNHCR,400000
2022,Protection,UNICEF,495000
2022,Protection,UNFPA,500000
2022,Water Sanitation Hygiene,UNICEF,1800000
2022,Common Services,UNICEF,225000
2022,Education,UNICEF,396004
2022,Shelter and Non-Food Items,UNHCR,700000
2022,Shelter and Non-Food Items,UNICEF,1308031
2022,Shelter and Non-Food Items,IOM,800000
2022,Food Assistance,WFP,9096009
2022,Health,WHO,969283
2022,Health,UNFPA,380000
2022,Nutrition,WFP,904001
2022,Nutrition,UNICEF,2902007
2022,Protection,UNICEF,445029
2022,Protection,UNFPA,250000
2022,Water Sanitation Hygiene,UNICEF,1099049
2022,Multi-Sector Refugee Assistance,UNHCR,3751046
2022,Agriculture,WFP,222000
2022,Food Assistance,WFP,1822858
2022,Health,WHO,1375000
2022,Protection,UNHCR,1000511
2022,Water Sanitation Hygiene,UNICEF,585000
2022,Education,UNICEF,458863
2022,Shelter and Non-Food Items,UNDP,2700001
2022,Agriculture,FAO,500085
2022,Food Assistance,WFP,1798106
2022,Health,WHO,899997
2022,Health,UNFPA,400000
2022,Water Sanitation Hygiene,UNICEF,1070682
2022,Shelter and Non-Food Items,UNHCR,3671600
2022,Shelter and Non-Food Items,UNICEF,837173
2022,Shelter and Non-Food Items,IOM,1540000
2022,Agriculture,FAO,1198603
2022,Food Assistance,WFP,5350009
2022,Health,WHO,3577259
2022,Health,IOM,300000
2022,Nutrition,UNICEF,54000
2022,Protection,UNHCR,998400
2022,Protection,UNICEF,2334268
2022,Protection,UNFPA,2149993
2022,Water Sanitation Hygiene,UNICEF,5539453
2022,Common Services,WFP,200000
2022,Agriculture,FAO,400000
2022,Food Assistance,WFP,700000
2022,Nutrition,WFP,300000
2022,Nutrition,UNICEF,411424
2022,Protection,UNHCR,100004
2022,Protection,UNICEF,40139
2022,Water Sanitation Hygiene,UNICEF,50174
2022,Early Recovery,UNDP,1000423
2022,Agriculture,FAO,1000022
2022,Nutrition,UNICEF,963544
2022,Water Sanitation Hygiene,UNICEF,1043840
2022,Shelter and Non-Food Items,IOM,2203964
2022,Food Assistance,WFP,1500000
2022,Health,WHO,6459263
2022,Nutrition,WFP,1000000
2022,Nutrition,UNICEF,4601001
2022,Protection,UNHCR,1200003
2022,Protection,UNICEF,390000
2022,Protection,UNFPA,600000
2022,Water Sanitation Hygiene,WHO,239977
2022,Water Sanitation Hygiene,UNICEF,3320000
2022,Multi-purpose CASH,UNICEF,1989000
2022,Multi-purpose CASH,IOM,2500000
2022,Food Assistance,WFP,650000
2022,Water Sanitation Hygiene,UNICEF,351643
2022,Education,UNICEF,600004
2022,Food Assistance,WFP,2000000
2022,Health,WHO,2538539
2022,Nutrition,UNICEF,600004
2022,Protection,UNICEF,420002
2022,Water Sanitation Hygiene,UNICEF,3880008
2022,Common Services,WFP,2000000
2022,Agriculture,FAO,500000
2022,Food Assistance,WFP,570000
2022,Health,WHO,300000
2022,Health,UNICEF,190000
2022,Health,UNFPA,99000
2022,Nutrition,WFP,430000
2022,Nutrition,UNICEF,513000
2022,Protection,UNICEF,190000
2022,Protection,UNFPA,201000
2022,Water Sanitation Hygiene,UNICEF,1007000
2022,Shelter and Non-Food Items,IOM,500000
2022,Food Assistance,WFP,353000
2022,Water Sanitation Hygiene,UNICEF,157290
2022,Health,UNHCR,1000000
2022,Health,WHO,1000000
2022,Water Sanitation Hygiene,UNICEF,3000000
2022,Camp Coordination / Management,IOM,84000
2022,Education,UNICEF,296540
2022,Shelter and Non-Food Items,IOM,616000
2022,Agriculture,FAO,400000
