Year,Cluster,Agency,Budget
2026,Agriculture,FAO,915000
2026,To be determined,,1385000
2026,Agriculture,FAO,1250000
2026,Health,WHO,999999.49
2026,Nutrition,UNICEF,499950.2
2026,Water Sanitation Hygiene,UNICEF,1000050.4
2026,Multi-purpose CASH,WFP,1250000.02
2026,To be determined,,2000000
2026,Camp Coordination / Management,IOM,530970
2026,Shelter and Non-Food Items,IOM,1619030
2026,Food Aid,WFP,2305148.59
2026,Health,UNICEF,899960.15
2026,Health,UNFPA,300000
2026,Protection,UNHCR,800000
2026,Protection,UNICEF,100099.99
2026,Protection,UNFPA,300000
2026,Water Sanitation Hygiene,UNICEF,1599940.23
2026,Common Services,WFP,1055048.5899999999
2026,Shelter and Non-Food Items,IOM,1000000
2026,Agriculture,FAO,1000000
2026,Food Aid,WFP,1250000
2026,Health,WHO,500000
2026,Water Sanitation Hygiene,UNICEF,1249417.6
2026,To be determined,,10000000
