Year,Cluster,Agency,Budget
2018,Agriculture,FAO,2000000
2018,Food Assistance,WFP,5000000
2018,Nutrition,WFP,1362704
2018,Nutrition,WHO,187844
2018,Nutrition,UNICEF,1186992
2018,Water Sanitation Hygiene,UNICEF,2199929
2018,Protection,UN Women,280107
2018,Protection,UNFPA,300000
2018,Multi-Sector,UNICEF,522428
2018,Multi-Sector,IOM,400000
2018,Agriculture,FAO,1035022
2018,Food Assistance,WFP,2999616
2018,Nutrition,WFP,1980392
2018,Nutrition,UNICEF,3000000
2018,Food Assistance,WFP,615018
2018,Protection,UNICEF,149997
2018,Protection,UNFPA,297610
2018,Water Sanitation Hygiene,UNICEF,299953
2018,Multi-Sector Refugee Assistance,UNHCR,987994
2018,Shelter and Non-Food Items,UNHCR,949970
2018,Agriculture,FAO,387475
2018,Food Assistance,WFP,1099998
2018,Health,WHO,599906
2018,Protection,UN Women,148652
2018,Protection,UNICEF,399996
2018,Protection,UNFPA,312801
2018,Protection,IOM,197847
2018,Water Sanitation Hygiene,UNICEF,899876
2018,Common Services,UNDP,100473
2018,Education,UNICEF,116997
2018,Agriculture,FAO,1558815
2018,Food Assistance,WFP,6264110
2018,Health,WHO,450011
2018,Health,UNICEF,140629
2018,Health,UNFPA,256448
2018,Nutrition,WFP,1999199
2018,Nutrition,UNICEF,2924256
2018,Protection,UNICEF,242655
2018,Protection,UNFPA,238824
2018,Water Sanitation Hygiene,UNICEF,421006
2018,Common Services,WFP,227825
2018,Multi-Sector Refugee Assistance,UNHCR,2141563
2018,Education,UNICEF,649754
2018,Shelter and Non-Food Items,IOM,233146
2018,Agriculture,FAO,672143
2018,Food Assistance,WFP,1342000
2018,Health,WHO,965182
2018,Health,UNFPA,286330
2018,Nutrition,UNICEF,235935
2018,Protection,UN Women,284004
2018,Protection,UNICEF,460999
2018,Water Sanitation Hygiene,UNICEF,800000
2018,Shelter and Non-Food Items,UNHCR,749820
2018,Shelter and Non-Food Items,UNICEF,1364399
2018,Agriculture,FAO,499640
2018,Food Assistance,WFP,8982717
2018,Health,WHO,4277358
2018,Nutrition,UNICEF,371399
2018,Protection,UNHCR,450015
2018,Protection,UNICEF,903481
2018,Protection,UNFPA,1937521
2018,Water Sanitation Hygiene,UNICEF,3367585
2018,Common Services,WFP,3756117
2018,Multi-Sector,UNICEF,1650428
2018,Multi-Sector,IOM,2200467
2018,Health,WHO,180000
2018,Health,IOM,100000
2018,Water Sanitation Hygiene,UNICEF,916791
2018,Food Assistance,WFP,536002
2018,Health,WHO,211177
2018,Health,UNICEF,132027
2018,Health,UNFPA,116577
2018,Protection,UN Women,130000
2018,Protection,UNICEF,100000
2018,Protection,UNFPA,100340
2018,Water Sanitation Hygiene,UNICEF,173792
2018,Shelter and Non-Food Items,UNHCR,7500076
2018,Shelter and Non-Food Items,IOM,8843362
2018,Health,WHO,2173719
2018,Health,UNICEF,324673
2018,Nutrition,WFP,1496790
2018,Water Sanitation Hygiene,UNICEF,9950274
2018,Camp Coordination / Management,IOM,319980
2018,Education,UNICEF,117576
2018,Food Assistance,WFP,154598
2018,Health,WHO,311786
2018,Nutrition,UNICEF,111280
2018,Protection,UNHCR,192601
2018,Protection,UNICEF,179063
2018,Water Sanitation Hygiene,UNICEF,173083
2018,Education,UNICEF,2119579
2018,Shelter and Non-Food Items,IOM,648661
2018,Health,UNFPA,389420
2018,Early Recovery,UNDP,443729
2018,Shelter and Non-Food Items,UNDP,1357563
2018,Agriculture,FAO,716790
2018,Health,WHO,669444
2018,Health,UNICEF,671254
2018,Water Sanitation Hygiene,UNICEF,1120406
2018,Early Recovery,UNDP,785760
2018,Shelter and Non-Food Items,UNHCR,1070000
2018,Agriculture,FAO,999926
2018,Health,WHO,962874
2018,Health,UNICEF,794593
2018,Health,UNFPA,1000021
2018,Protection,UNICEF,643859
2018,Protection,UNFPA,826603
2018,Water Sanitation Hygiene,UNICEF,3141895
2018,Common Services,WFP,1200212
2018,Multi-Sector,IOM,2999277
2018,Shelter and Non-Food Items,UNICEF,550069
2018,Shelter and Non-Food Items,IOM,734548
2018,Health,WHO,747374
2018,Health,UNICEF,598695
2018,Health,UNFPA,367866
2018,Health,IOM,151689
2018,Protection,UNICEF,345001
2018,Protection,UNFPA,118196
2018,Water Sanitation Hygiene,UNICEF,1332064
2018,Early Recovery,UNDP,812899
