Year,Cluster,Agency,Budget
2017,Shelter and Non-Food Items,UNHCR,3522964
2017,Food Assistance,UNHCR,516380
2017,Food Assistance,WFP,1405448
2017,Health,WHO,599648
2017,Health,UNICEF,992805
2017,Health,UNFPA,100945
2017,Protection,UNHCR,1546460
2017,Protection,UNICEF,500760
2017,Water Sanitation Hygiene,UNICEF,1000000
2017,Common Services,UNDP,260096
2017,Multi-Sector Refugee Assistance,IOM,100002
2017,Early Recovery,UNDP,300007
2017,Education,UNICEF,396300
2017,Shelter and Non-Food Items,IOM,180006
2017,Health,UNFPA,197860
2017,Protection,UN Women,248975
2017,Common Services,WFP,831313
2017,Shelter and Non-Food Items,UNDP,1150005
2017,Shelter and Non-Food Items,IOM,3628399
2017,Food Assistance,WFP,6088657
2017,Health,UNHCR,1008337
2017,Health,WHO,1000000
2017,Health,UNFPA,157671
2017,Health,IOM,345685
2017,Nutrition,UNICEF,399413
2017,Protection,UNHCR,1340698
2017,Protection,UNICEF,495949
2017,Protection,UNFPA,1950134
2017,Water Sanitation Hygiene,UNICEF,3650012
2017,Water Sanitation Hygiene,IOM,1847260
2017,Multi-Sector,UNHCR,164930
2017,Multi-Sector Refugee Assistance,UNHCR,937704
2017,Agriculture,FAO,1000000
2017,Food Assistance,WFP,2000011
2017,Protection,IOM,500000
2017,Food Assistance,WFP,6000028
2017,Agriculture,FAO,444919
2017,Food Assistance,WFP,1393587
2017,Health,WHO,229994
2017,Health,UNICEF,110735
2017,Health,UNFPA,202724
2017,Protection,UNHCR,99996
2017,Protection,UNICEF,241983
2017,Protection,UNFPA,291150
2017,Water Sanitation Hygiene,UNICEF,546753
2017,Education,UNICEF,209573
2017,Shelter and Non-Food Items,UNDP,2550000
2017,Agriculture,FAO,746142
2017,Food Assistance,WFP,1559750
2017,Health,WHO,999983
2017,Health,UNFPA,355008
2017,Water Sanitation Hygiene,UNICEF,1579013
2017,Agriculture,FAO,209951
2017,Health,WHO,428640
2017,Health,UNICEF,515917
2017,Health,UNFPA,225024
2017,Nutrition,WFP,2499922
2017,Nutrition,UNICEF,2295592
2017,Water Sanitation Hygiene,WHO,175967
2017,Camp Coordination / Management,IOM,875000
2017,Education,UNICEF,1497230
2017,Shelter and Non-Food Items,UNICEF,1848628
2017,Agriculture,FAO,2428665
2017,Food Assistance,WFP,3790608
2017,Health,WHO,2011853
2017,Health,UNICEF,990563
2017,Health,UNFPA,991599
2017,Nutrition,UNICEF,704991
2017,Protection,UNHCR,851185
2017,Protection,UNICEF,696570
2017,Protection,UNFPA,495736
2017,Water Sanitation Hygiene,UNICEF,2415630
2017,Multi-Sector,UNICEF,3000010
2017,Multi-Sector,UNFPA,1470290
2017,Multi-Sector Refugee Assistance,UNHCR,2495987
2017,Early Recovery,UNDP,300007
2017,Education,UNICEF,205615
2017,Shelter and Non-Food Items,IOM,355615
2017,Agriculture,FAO,299249
2017,Food Assistance,WFP,400210
2017,Health,WHO,249924
2017,Health,UNFPA,100003
2017,Protection,UNFPA,100000
2017,Water Sanitation Hygiene,UNICEF,201215
2017,Common Services,WFP,800000
2017,Agriculture,FAO,3000004
2017,Health,UNICEF,2499963
2017,Nutrition,WFP,15011684
2017,Water Sanitation Hygiene,UNICEF,8001039
2017,Food Assistance,WFP,10000001
2017,Agriculture,FAO,1500000
2017,Health,WHO,649993
2017,Health,UNICEF,217211
2017,Health,UNFPA,171531
2017,Nutrition,WFP,4000132
2017,Nutrition,UNICEF,1500048
2017,Protection,UNICEF,290184
2017,Protection,UNFPA,200041
2017,Water Sanitation Hygiene,UNICEF,1800128
2017,Common Services,UNDP,357812
2017,Shelter and Non-Food Items,IOM,999969
2017,Agriculture,FAO,717477
2017,Food Assistance,WFP,1033596
2017,Health,WHO,374302
2017,Health,UNICEF,327082
2017,Health,UNFPA,298657
2017,Water Sanitation Hygiene,UNICEF,1000001
2017,Common Services,WFP,248517
2017,Agriculture,UNDP,407613
2017,Agriculture,FAO,700000
2017,Education,UNICEF,400137
2017,Shelter and Non-Food Items,IOM,400000
2017,Agriculture,FAO,299884
2017,Food Assistance,WFP,300000
2017,Health,WHO,200005
2017,Health,UNFPA,400069
2017,Education,UNICEF,322102
2017,Shelter and Non-Food Items,UNHCR,1300001
2017,Agriculture,FAO,750009
